firma_adi,web_sitesi,sektor,kaynak
VeriPark,https://www.veripark.com,Bankacılık yazılımı,Ön liste (doğrulanmadı)
OBSS,https://obss.tech,Yazılım geliştirme / danışmanlık,Ön liste (doğrulanmadı)
Commencis,https://www.commencis.com,Dijital ürün / yazılım geliştirme,Ön liste (doğrulanmadı)
Mobven,https://mobven.com,Mobil yazılım geliştirme,Ön liste (doğrulanmadı)
Appcent,https://appcent.mobi,Mobil uygulama geliştirme,Ön liste (doğrulanmadı)
Testinium,https://testinium.com,Test otomasyonu / yazılım kalite,Ön liste (doğrulanmadı)
Kron Technologies,https://krontech.com,Siber güvenlik / erişim yönetimi,Ön liste (doğrulanmadı)
Berqnet,https://www.berqnet.com,Siber güvenlik / güvenlik duvarı,Ön liste (doğrulanmadı)
Vispera,https://vispera.co,Yapay zeka / görüntü işleme,Ön liste (doğrulanmadı)
Segmentify,https://www.segmentify.com,E-ticaret kişiselleştirme,Ön liste (doğrulanmadı)
Related Digital,https://www.relateddigital.com,Pazarlama teknolojileri,Ön liste (doğrulanmadı)
Setrow,https://setrow.com,E-posta pazarlama teknolojisi,Ön liste (doğrulanmadı)
Akinon,https://www.akinon.com,E-ticaret yazılım platformu,Ön liste (doğrulanmadı)
Ticimax,https://www.ticimax.com,E-ticaret altyapı yazılımı,Ön liste (doğrulanmadı)
IdeaSoft,https://www.ideasoft.com.tr,E-ticaret altyapı yazılımı,Ön liste (doğrulanmadı)
T-Soft,https://www.tsoft.com.tr,E-ticaret yazılımı,Ön liste (doğrulanmadı)
Nebim,https://www.nebim.com.tr,Perakende ERP yazılımı,Ön liste (doğrulanmadı)
Mikro Yazılım,https://www.mikro.com.tr,Muhasebe / ERP yazılımı,Ön liste (doğrulanmadı)
Uyumsoft,https://www.uyumsoft.com.tr,ERP / e-dönüşüm yazılımı,Ön liste (doğrulanmadı)
İzibiz,https://www.izibiz.com.tr,e-Fatura / e-dönüşüm,Ön liste (doğrulanmadı)
Digital Planet,https://www.digitalplanet.com.tr,e-Dönüşüm çözümleri,Ön liste (doğrulanmadı)
Detaysoft,https://www.detaysoft.com,SAP danışmanlık / kurumsal yazılım,Ön liste (doğrulanmadı)
Experteam,https://www.experteam.com.tr,SAP danışmanlık,Ön liste (doğrulanmadı)
Workcube,https://www.workcube.com,Kurumsal yazılım / ERP,Ön liste (doğrulanmadı)
IAS - Canias ERP,https://www.caniaserp.com,ERP yazılımı,Ön liste (doğrulanmadı)
Protel,https://www.protel.com.tr,Otel ve restoran yazılımı,Ön liste (doğrulanmadı)
Platin Bilişim,https://www.platinbilisim.com.tr,BT çözümleri / sistem entegrasyonu,Ön liste (doğrulanmadı)
Sistaş,https://www.sistas.com.tr,BT çözümleri,Ön liste (doğrulanmadı)
Link Bilgisayar,https://www.linkbilgisayar.com.tr,Ticari yazılım,Ön liste (doğrulanmadı)
CPM Yazılım,https://www.cpm.com.tr,Sigortacılık yazılımı,Ön liste (doğrulanmadı)
iyzico,https://www.iyzico.com,Fintech / ödeme sistemleri,Ön liste (doğrulanmadı)
Param,https://www.param.com.tr,Fintech / ödeme sistemleri,Ön liste (doğrulanmadı)
Papara,https://www.papara.com,Fintech / dijital cüzdan,Ön liste (doğrulanmadı)
ininal,https://www.ininal.com,Fintech / ön ödemeli kart,Ön liste (doğrulanmadı)
Sipay,https://www.sipay.com.tr,Fintech / ödeme sistemleri,Ön liste (doğrulanmadı)
Craftgate,https://craftgate.io,Fintech / ödeme altyapısı,Ön liste (doğrulanmadı)
PayCore,https://www.paycore.com,Fintech / kart teknolojileri,Ön liste (doğrulanmadı)
Colendi,https://www.colendi.com,Fintech / dijital bankacılık,Ön liste (doğrulanmadı)
Midas,https://www.getmidas.com,Fintech / yatırım platformu,Ön liste (doğrulanmadı)
Figopara,https://www.figopara.com,Fintech / tedarik zinciri finansmanı,Ön liste (doğrulanmadı)
Paribu,https://www.paribu.com,Kripto varlık platformu,Ön liste (doğrulanmadı)
BtcTurk,https://www.btcturk.com,Kripto varlık platformu,Ön liste (doğrulanmadı)
Bitexen,https://www.bitexen.com,Kripto varlık platformu,Ön liste (doğrulanmadı)
Mobiroller,https://www.mobiroller.com,Mobil uygulama geliştirme platformu,Ön liste (doğrulanmadı)
ATP Teknoloji,https://www.atptech.com,,Kullanıcı listesi (05.08.2026)
CRS Soft,https://www.crssoft.com,,Kullanıcı listesi (05.08.2026)
Lyrebird Studio,https://www.lyrebirdstudio.net,Mobil uygulama / foto düzenleme,Kullanıcı listesi (05.08.2026)
Blue Arf,https://www.bluearf.com,,Kullanıcı listesi (05.08.2026)
Rentcarla,https://rentcarla.com,Araç kiralama platformu,Kullanıcı listesi (05.08.2026)
Bimser Çözüm,https://bimser.com,Kurumsal yazılım (QDMS / eBA),Kullanıcı listesi (05.08.2026)
Seven Apps,https://sevenapps.co,Mobil uygulama geliştirme,Kullanıcı listesi (05.08.2026)
Codevo,https://codevo.com.tr,Yazılım geliştirme,Kullanıcı listesi (05.08.2026)
Chippin,https://chippin.com,,Kullanıcı listesi (05.08.2026)
Mono Dijital,https://monodijital.com,Dijital ajans,Kullanıcı listesi (05.08.2026)
Neon Apps,https://neonapps.co,Mobil uygulama geliştirme,Kullanıcı listesi (05.08.2026)
TankX,https://tankx.co,,Kullanıcı listesi (05.08.2026)
Dijital Kurye,https://dijitalkurye.com.tr,Dijital ajans,Kullanıcı listesi (05.08.2026)
Slayz,https://slayz.app,Mobil uygulama,Kullanıcı listesi (05.08.2026)
NGaming,https://ngaming.com,Oyun,Kullanıcı listesi (05.08.2026)
Native Minds,https://nativeminds.ai,Yapay zeka,Kullanıcı listesi (05.08.2026)
Oak Technology,https://oak.technology,,Kullanıcı listesi (05.08.2026)
HireFeed,https://www.hirefeed.co.in,İK teknolojileri,Kullanıcı listesi (05.08.2026)
Loodos,https://loodos.com,Mobil uygulama geliştirme,Kullanıcı listesi (05.08.2026)
VoltLines,https://voltlines.com,Kurumsal ulaşım teknolojisi,Kullanıcı listesi (05.08.2026)
AVDCG,https://avdcg.com,,Kullanıcı listesi (05.08.2026)
Grid Studio,https://gridstudio.ai,Yapay zeka,Kullanıcı listesi (05.08.2026)
Playable Factory,https://playablefactory.com,Oynanabilir reklam / oyun teknolojisi,Kullanıcı listesi (05.08.2026)
Virgosol,https://virgosol.com,Yazılım geliştirme,Kullanıcı listesi (05.08.2026)
Shipday,https://shipday.com,Teslimat yönetimi yazılımı,Kullanıcı listesi (05.08.2026 - 2. parti)
Verisoft,https://verisoft.com,,Kullanıcı listesi (05.08.2026 - 2. parti)
Finago Tech,https://finagotech.com.tr,,Kullanıcı listesi (05.08.2026 - 2. parti)
Epigra,https://epigra.com,Dijital ajans / web geliştirme,Kullanıcı listesi (05.08.2026 - 2. parti)
ServiceCore,https://servicecore.app,,Kullanıcı listesi (05.08.2026 - 2. parti)
Mee Apps,https://meeapps.com.tr,,Kullanıcı listesi (05.08.2026 - 2. parti)
Paymore,https://paymore.com.tr,,Kullanıcı listesi (05.08.2026 - 2. parti)
Solvoyo,https://solvoyo.com,Tedarik zinciri planlama / yapay zeka,Kullanıcı listesi (05.08.2026 - 2. parti)
Neova,https://neova.com.tr,,Kullanıcı listesi (05.08.2026 - 2. parti)
Uyumsoft (.com),https://uyumsoft.com,ERP / e-dönüşüm yazılımı,Kullanıcı listesi (05.08.2026 - 2. parti)
Dataliva,https://www.dataliva.com,Veri analitiği / yapay zeka,Kullanıcı listesi (05.08.2026 - 3. parti)
Applogist,https://www.applogist.com,Mobil uygulama geliştirme,Kullanıcı listesi (05.08.2026 - 3. parti)
Odeon Technology,https://www.odeontechnology.com,,Kullanıcı listesi (05.08.2026 - 3. parti)
MoneyPay,https://www.moneypay.com.tr,Fintech / ödeme sistemleri,Kullanıcı listesi (05.08.2026 - 3. parti)
Argela,https://www.argela.com.tr,Telekom yazılımı,Kullanıcı listesi (05.08.2026 - 3. parti)
Quick Sigorta,https://www.quicksigorta.com,Sigorta,Kullanıcı listesi (05.08.2026 - 3. parti)
Pozitif Teknoloji,https://pozitiftech.com,BT çözümleri,Kullanıcı listesi (05.08.2026 - 3. parti)
Inveon,https://www.inveon.com,E-ticaret yazılımı,Kullanıcı listesi (05.08.2026 - 3. parti)
Deloitte,https://www.deloitte.com,Denetim / danışmanlık,Kullanıcı listesi (05.08.2026 - 3. parti)
Obase,https://www.obase.com,Perakende yazılımı / veri analitiği,Ön liste (doğrulanmadı)
Pisano,https://www.pisano.com,Müşteri deneyimi yazılımı,Ön liste (doğrulanmadı)
DgPays,https://www.dgpays.com,Fintech / ödeme sistemleri,Ön liste (doğrulanmadı)
Token Finansal Teknolojiler,https://www.token.com.tr,Ödeme sistemleri teknolojisi,Ön liste (doğrulanmadı)
Fineksus,https://www.fineksus.com,Ödeme / SWIFT yazılımı,Ön liste (doğrulanmadı)
Intellica,https://www.intellica.net,Veri yönetimi / analitik,Ön liste (doğrulanmadı)
Sestek,https://www.sestek.com,Konuşma teknolojileri / yapay zeka,Ön liste (doğrulanmadı)
Kloia,https://www.kloia.com,DevOps / bulut danışmanlığı,Ön liste (doğrulanmadı)
Sufle,https://sufle.io,Bulut / yazılım geliştirme,Ön liste (doğrulanmadı)
Enuygun,https://www.enuygun.com,Seyahat teknolojisi,Ön liste (doğrulanmadı)
Obilet,https://www.obilet.com,Seyahat teknolojisi,Ön liste (doğrulanmadı)
Şikayetvar,https://www.sikayetvar.com,Müşteri deneyimi platformu,Ön liste (doğrulanmadı)
Garanti BBVA Teknoloji,https://www.garantiteknoloji.com.tr,Bankacılık teknolojileri,Ön liste (doğrulanmadı)
Yapı Kredi Teknoloji,https://www.ykteknoloji.com.tr,Bankacılık teknolojileri,Ön liste (doğrulanmadı)
Ziraat Teknoloji,https://www.ziraatteknoloji.com,Bankacılık teknolojileri,Ön liste (doğrulanmadı)
Anadolu Bilişim (ABH),https://www.abh.com.tr,BT hizmetleri,Ön liste (doğrulanmadı)
İSBAK,https://www.isbak.istanbul,Akıllı şehir teknolojileri,Ön liste (doğrulanmadı)
Baykar,https://www.baykartech.com,Savunma / otonom sistem yazılımı,Ön liste (doğrulanmadı)
Sempeak,https://www.sempeak.com,Yazılım geliştirme,Ön liste (doğrulanmadı)
Asseco SEE Türkiye,https://tr.asseco-see.com,Bankacılık yazılımı,Ön liste (doğrulanmadı)
BilgeAdam Teknoloji,https://www.bilgeadamteknoloji.com,BT hizmetleri,Ön liste (doğrulanmadı)
VBT Yazılım,https://www.vbt.com.tr,Yazılım danışmanlığı,Ön liste (doğrulanmadı)
Ödeal,https://www.odeal.com,Fintech / ödeme sistemleri,Ön liste (doğrulanmadı)
Moka United,https://www.moka.com,Fintech / ödeme sistemleri,Ön liste (doğrulanmadı)
Hepsipay,https://www.hepsipay.com,Fintech / dijital cüzdan,Ön liste (doğrulanmadı)
Tosla,https://www.tosla.com,Fintech / dijital cüzdan,Ön liste (doğrulanmadı)
PeakUp,https://peakup.org,Microsoft danışmanlığı / BT,Ön liste (doğrulanmadı)
Cerebrum Tech,https://www.cerebrumtech.com,Yazılım geliştirme,Ön liste (doğrulanmadı)
